,price,area
0,13300000,7420
1,12250000,8960
2,12250000,9960
3,12215000,7500
4,11410000,7420
5,10850000,7500
6,10150000,8580
7,10150000,16200
8,9870000,8100
9,9800000,5750
10,9800000,13200
11,9681000,6000
12,9310000,6550
13,9240000,3500
14,9240000,7800
15,9100000,6000
16,9100000,6600
17,8960000,8500
18,8890000,4600
19,8855000,6420
20,8750000,4320
21,8680000,7155
22,8645000,8050
23,8645000,4560
24,8575000,8800
25,8540000,6540
26,8463000,6000
27,8400000,8875
28,8400000,7950
29,8400000,5500
30,8400000,7475
31,8400000,7000
32,8295000,4880
33,8190000,5960
34,8120000,6840
35,8080940,7000
36,8043000,7482
37,7980000,9000
38,7962500,6000
39,7910000,6000
40,7875000,6550
41,7840000,6360
42,7700000,6480
43,7700000,6000
44,7560000,6000
45,7560000,6000
46,7525000,6000
47,7490000,6600
48,7455000,4300
49,7420000,7440
50,7420000,7440
51,7420000,6325
52,7350000,6000
53,7350000,5150
54,7350000,6000
55,7350000,6000
56,7343000,11440
57,7245000,9000
58,7210000,7680
59,7210000,6000
60,7140000,6000
61,7070000,8880
62,7070000,6240
63,7035000,6360
64,7000000,11175
65,6930000,8880
66,6930000,13200
67,6895000,7700
68,6860000,6000
69,6790000,12090
70,6790000,4000
71,6755000,6000
72,6720000,5020
73,6685000,6600
74,6650000,4040
75,6650000,4260
76,6650000,6420
77,6650000,6500
78,6650000,5700
79,6650000,6000
80,6629000,6000
81,6615000,4000
82,6615000,10500
83,6580000,6000
84,6510000,3760
85,6510000,8250
86,6510000,6670
87,6475000,3960
88,6475000,7410
89,6440000,8580
90,6440000,5000
91,6419000,6750
92,6405000,4800
93,6300000,7200
94,6300000,6000
95,6300000,4100
96,6300000,9000
97,6300000,6400
98,6293000,6600
99,6265000,6000
100,6230000,6600
101,6230000,5500
102,6195000,5500
103,6195000,6350
104,6195000,5500
105,6160000,4500
106,6160000,5450
107,6125000,6420
108,6107500,3240
109,6090000,6615
110,6090000,6600
111,6090000,8372
112,6083000,4300
113,6083000,9620
114,6020000,6800
115,6020000,8000
116,6020000,6900
117,5950000,3700
118,5950000,6420
119,5950000,7020
120,5950000,6540
121,5950000,7231
122,5950000,6254
123,5950000,7320
124,5950000,6525
125,5943000,15600
126,5880000,7160
127,5880000,6500
128,5873000,5500
129,5873000,11460
130,5866000,4800
131,5810000,5828
132,5810000,5200
133,5810000,4800
134,5803000,7000
135,5775000,6000
136,5740000,5400
137,5740000,4640
138,5740000,5000
139,5740000,6360
140,5740000,5800
141,5652500,6660
142,5600000,10500
143,5600000,4800
144,5600000,4700
145,5600000,5000
146,5600000,10500
147,5600000,5500
148,5600000,6360
149,5600000,6600
150,5600000,5136
151,5565000,4400
152,5565000,5400
153,5530000,3300
154,5530000,3650
155,5530000,6100
156,5523000,6900
157,5495000,2817
158,5495000,7980
159,5460000,3150
160,5460000,6210
161,5460000,6100
162,5460000,6600
163,5425000,6825
164,5390000,6710
165,5383000,6450
166,5320000,7800
167,5285000,4600
168,5250000,4260
169,5250000,6540
170,5250000,5500
171,5250000,10269
172,5250000,8400
173,5250000,5300
174,5250000,3800
175,5250000,9800
176,5250000,8520
177,5243000,6050
178,5229000,7085
179,5215000,3180
180,5215000,4500
181,5215000,7200
182,5145000,3410
183,5145000,7980
184,5110000,3000
185,5110000,3000
186,5110000,11410
187,5110000,6100
188,5075000,5720
189,5040000,3540
190,5040000,7600
191,5040000,10700
192,5040000,6600
193,5033000,4800
194,5005000,8150
195,4970000,4410
196,4970000,7686
197,4956000,2800
198,4935000,5948
199,4907000,4200
200,4900000,4520
201,4900000,4095
202,4900000,4120
203,4900000,5400
204,4900000,4770
205,4900000,6300
206,4900000,5800
207,4900000,3000
208,4900000,2970
209,4900000,6720
210,4900000,4646
211,4900000,12900
212,4893000,3420
213,4893000,4995
214,4865000,4350
215,4830000,4160
216,4830000,6040
217,4830000,6862
218,4830000,4815
219,4795000,7000
220,4795000,8100
221,4767000,3420
222,4760000,9166
223,4760000,6321
224,4760000,10240
225,4753000,6440
226,4690000,5170
227,4690000,6000
228,4690000,3630
229,4690000,9667
230,4690000,5400
231,4690000,4320
232,4655000,3745
233,4620000,4160
234,4620000,3880
235,4620000,5680
236,4620000,2870
237,4620000,5010
238,4613000,4510
239,4585000,4000
240,4585000,3840
241,4550000,3760
242,4550000,3640
243,4550000,2550
244,4550000,5320
245,4550000,5360
246,4550000,3520
247,4550000,8400
248,4543000,4100
249,4543000,4990
250,4515000,3510
251,4515000,3450
252,4515000,9860
253,4515000,3520
254,4480000,4510
255,4480000,5885
256,4480000,4000
257,4480000,8250
258,4480000,4040
259,4473000,6360
260,4473000,3162
261,4473000,3510
262,4445000,3750
263,4410000,3968
264,4410000,4900
265,4403000,2880
266,4403000,4880
267,4403000,4920
268,4382000,4950
269,4375000,3900
270,4340000,4500
271,4340000,1905
272,4340000,4075
273,4340000,3500
274,4340000,6450
275,4319000,4032
276,4305000,4400
277,4305000,10360
278,4277000,3400
279,4270000,6360
280,4270000,6360
281,4270000,4500
282,4270000,2175
283,4270000,4360
284,4270000,7770
285,4235000,6650
286,4235000,2787
287,4200000,5500
288,4200000,5040
289,4200000,5850
290,4200000,2610
291,4200000,2953
292,4200000,2747
293,4200000,4410
294,4200000,4000
295,4200000,2325
296,4200000,4600
297,4200000,3640
298,4200000,5800
299,4200000,7000
300,4200000,4079
301,4200000,3520
302,4200000,2145
303,4200000,4500
304,4193000,8250
305,4193000,3450
306,4165000,4840
307,4165000,4080
308,4165000,4046
309,4130000,4632
310,4130000,5985
311,4123000,6060
312,4098500,3600
313,4095000,3680
314,4095000,4040
315,4095000,5600
316,4060000,5900
317,4060000,4992
318,4060000,4340
319,4060000,3000
320,4060000,4320
321,4025000,3630
322,4025000,3460
323,4025000,5400
324,4007500,4500
325,4007500,3460
326,3990000,4100
327,3990000,6480
328,3990000,4500
329,3990000,3960
330,3990000,4050
331,3920000,7260
332,3920000,5500
333,3920000,3000
334,3920000,3290
335,3920000,3816
336,3920000,8080
337,3920000,2145
338,3885000,3780
339,3885000,3180
340,3850000,5300
341,3850000,3180
342,3850000,7152
343,3850000,4080
344,3850000,3850
345,3850000,2015
346,3850000,2176
347,3836000,3350
348,3815000,3150
349,3780000,4820
350,3780000,3420
351,3780000,3600
352,3780000,5830
353,3780000,2856
354,3780000,8400
355,3773000,8250
356,3773000,2520
357,3773000,6930
358,3745000,3480
359,3710000,3600
360,3710000,4040
361,3710000,6020
362,3710000,4050
363,3710000,3584
364,3703000,3120
365,3703000,5450
366,3675000,3630
367,3675000,3630
368,3675000,5640
369,3675000,3600
370,3640000,4280
371,3640000,3570
372,3640000,3180
373,3640000,3000
374,3640000,3520
375,3640000,5960
376,3640000,4130
377,3640000,2850
378,3640000,2275
379,3633000,3520
380,3605000,4500
381,3605000,4000
382,3570000,3150
383,3570000,4500
384,3570000,4500
385,3570000,3640
386,3535000,3850
387,3500000,4240
388,3500000,3650
389,3500000,4600
390,3500000,2135
391,3500000,3036
392,3500000,3990
393,3500000,7424
394,3500000,3480
395,3500000,3600
396,3500000,3640
397,3500000,5900
398,3500000,3120
399,3500000,7350
400,3500000,3512
401,3500000,9500
402,3500000,5880
403,3500000,12944
404,3493000,4900
405,3465000,3060
406,3465000,5320
407,3465000,2145
408,3430000,4000
409,3430000,3185
410,3430000,3850
411,3430000,2145
412,3430000,2610
413,3430000,1950
414,3423000,4040
415,3395000,4785
416,3395000,3450
417,3395000,3640
418,3360000,3500
419,3360000,4960
420,3360000,4120
421,3360000,4750
422,3360000,3720
423,3360000,3750
424,3360000,3100
425,3360000,3185
426,3353000,2700
427,3332000,2145
428,3325000,4040
429,3325000,4775
430,3290000,2500
431,3290000,3180
432,3290000,6060
433,3290000,3480
434,3290000,3792
435,3290000,4040
436,3290000,2145
437,3290000,5880
438,3255000,4500
439,3255000,3930
440,3234000,3640
441,3220000,4370
442,3220000,2684
443,3220000,4320
444,3220000,3120
445,3150000,3450
446,3150000,3986
447,3150000,3500
448,3150000,4095
449,3150000,1650
450,3150000,3450
451,3150000,6750
452,3150000,9000
453,3150000,3069
454,3143000,4500
455,3129000,5495
456,3118850,2398
457,3115000,3000
458,3115000,3850
459,3115000,3500
460,3087000,8100
461,3080000,4960
462,3080000,2160
463,3080000,3090
464,3080000,4500
465,3045000,3800
466,3010000,3090
467,3010000,3240
468,3010000,2835
469,3010000,4600
470,3010000,5076
471,3010000,3750
472,3010000,3630
473,3003000,8050
474,2975000,4352
475,2961000,3000
476,2940000,5850
477,2940000,4960
478,2940000,3600
479,2940000,3660
480,2940000,3480
481,2940000,2700
482,2940000,3150
483,2940000,6615
484,2870000,3040
485,2870000,3630
486,2870000,6000
487,2870000,5400
488,2852500,5200
489,2835000,3300
490,2835000,4350
491,2835000,2640
492,2800000,2650
493,2800000,3960
494,2730000,6800
495,2730000,4000
496,2695000,4000
497,2660000,3934
498,2660000,2000
499,2660000,3630
500,2660000,2800
501,2660000,2430
502,2660000,3480
503,2660000,4000
504,2653000,3185
505,2653000,4000
506,2604000,2910
507,2590000,3600
508,2590000,4400
509,2590000,3600
510,2520000,2880
511,2520000,3180
512,2520000,3000
513,2485000,4400
514,2485000,3000
515,2450000,3210
516,2450000,3240
517,2450000,3000
518,2450000,3500
519,2450000,4840
520,2450000,7700
521,2408000,3635
522,2380000,2475
523,2380000,2787
524,2380000,3264
525,2345000,3640
526,2310000,3180
527,2275000,1836
528,2275000,3970
529,2275000,3970
530,2240000,1950
531,2233000,5300
532,2135000,3000
533,2100000,2400
534,2100000,3000
535,2100000,3360
536,1960000,3420
537,1890000,1700
538,1890000,3649
539,1855000,2990
540,1820000,3000
541,1767150,2400
542,1750000,3620
543,1750000,2910
544,1750000,3850
